station_complex_id,model,n_train,n_test,n_features,Train RMSE,Train R^2,Train MAE,Train MAPE,Test RMSE,Test R^2,Test MAE,Test MAPE
77,LightGBM,25797,8253,82,16.227053101926966,0.9894890101261026,10.38435541795048,23.225933732730933,35.52329547422825,0.9601529808438024,18.41121499421468,23.44529552952133
14,LightGBM,25797,8253,82,48.12772536335157,0.9891428381155402,31.874775489032917,24.32935919239904,109.84946003460516,0.9601524986221968,65.46747748042567,61.40341653319119
326,LightGBM,25797,8253,82,20.47809396884006,0.9827670887879784,13.982158414489747,38.55439622076364,34.32936030201034,0.9592899046873522,22.22440969586027,35.27304640136323
10,LightGBM,25797,8253,82,68.07389102582846,0.9863246234031604,46.38063826837089,33.036688054350165,147.1263185703011,0.9587828566867056,94.50531644267438,118.37580719341912
366,LightGBM,25797,8253,82,35.58556759130707,0.9907358047412248,22.19164225300114,17.279747842810963,70.52980607702867,0.9586844320401956,36.62568864948919,22.14833183492412
1,LightGBM,25797,8253,77,37.06000138241495,0.9906244476608138,23.111248007255472,17.80448988843618,85.09319682524593,0.958488136530098,44.5158923918486,19.45083999015037
39,LightGBM,25797,8253,77,16.1169263295077,0.987523709798512,10.169289397898469,32.882550242634174,31.250926655209312,0.9582682147469715,16.747221918096574,22.932372307217147
606,LightGBM,25797,8253,97,61.1619227873334,0.988373164389114,38.57007906068897,15.916296985222866,132.2426850429091,0.9581719857455872,81.17892965141993,20.802545828652992
361,LightGBM,25797,8253,82,11.764069858859886,0.9895115667667236,7.492254198044352,28.070891960169185,23.64237398187207,0.9581346594282734,12.666876178515585,54.79945572706478
195,LightGBM,25797,8253,77,18.40353618740085,0.9912697893013565,11.352863428400576,38.46795836477119,39.816574694172665,0.9575734985108718,20.26338144478924,30.510431938748784
354,LightGBM,25797,8253,82,15.871234079363916,0.9865118409812738,10.58626503218743,27.743062626618237,30.28967712372592,0.9574859101211632,16.984620616873517,27.030842348595414
76,LightGBM,25797,8253,82,20.21999550420661,0.989397174694141,12.838927999857704,26.000924802829665,40.37863946727078,0.957213494257612,22.384895071979106,27.3351609163643
305,LightGBM,25797,8253,82,32.231021052818484,0.9833500396355958,21.879033196559117,21.41120365843348,53.40493829158023,0.956975835044366,33.61738490536305,22.535387823240992
320,LightGBM,25797,8253,82,36.86748502690387,0.9830666694939172,25.134487962677667,22.15598403750001,64.24761696266683,0.956902075051388,39.35194107893325,20.05815436323331
194,LightGBM,25797,8253,82,8.271899219732926,0.988404906205874,5.25419761055791,37.33163097094551,15.097812724188918,0.9567513782901302,8.034455110785274,38.48600647437957
308,LightGBM,25797,8253,82,36.4561827403577,0.9816945417143242,23.76321872516003,29.35012021413206,60.688062773312105,0.9566369175249586,36.84202004275512,25.21850075778461
451,LightGBM,25797,8253,82,62.74713728342882,0.9911339905577576,40.0611845901047,13.811450172012531,146.90543484662285,0.9565851502873424,74.12917906174133,14.574337273483366
288,LightGBM,25797,8253,82,16.21110575613432,0.9847467968534276,10.99587057770941,43.46253993622222,28.335649593727748,0.9564273764568636,17.183363302799638,62.02699570999929
67,LightGBM,25797,8253,82,14.468786829224678,0.9885978523100716,9.660863724885388,23.963894875182813,29.120348439377544,0.9561044767956152,16.823991805064278,39.588623629153616
262,LightGBM,25797,8253,82,19.8487755157979,0.9913522916863646,12.630336337567869,21.78033711913289,49.83642708962054,0.9558470075908952,25.45706124691865,23.80010306606404
321,LightGBM,25797,8253,82,26.303658530963343,0.9783327924407812,17.18830998663111,27.41447726176868,40.52142009220846,0.9556866427077814,25.13133312160105,26.08195776841931
452,LightGBM,25797,8253,82,43.62144354304908,0.9890876527981436,29.481116525538724,11.725861576541522,97.55974387489223,0.9555146380666164,54.58943215100271,14.074773806528013
127,LightGBM,25797,8253,82,32.71321046991882,0.9862204609607677,22.14902652263335,37.03871551195992,70.981925257636,0.955317583407416,40.85725974993428,81.76672833551972
311,LightGBM,25797,8253,82,47.5675510507092,0.9838455238449412,31.01738849307407,31.43171449152125,87.7538465151176,0.9548652725227856,54.63019732412233,30.637136731061915
